temp,Column1,label
73.3,11.7379458,Shirt | Shorts | Gentle Breeze
78.9,11.8530237,Shirt | Shorts | Gentle Breeze
40.1,11.9681016,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Gentle Breeze
70.9,11.9681016,Shirt | Shorts | Gentle Breeze
75.4,11.9681016,Shirt | Shorts | Gentle Breeze
76.5,11.9681016,Shirt | Shorts | Gentle Breeze
78.8,12.0831795,Shirt | Shorts | Moderate Breeze
79.2,12.1982574,Shirt | Shorts | Moderate Breeze
66.3,12.3133353,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
70.6,12.3133353,Shirt | Shorts | Moderate Breeze
78.4,12.3133353,Shirt | Shorts | Moderate Breeze
42.8,12.4284132,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Moderate Breeze
76.8,12.4284132,Shirt | Shorts | Moderate Breeze
76.5,12.5434911,Shirt | Shorts | Moderate Breeze
70.4,12.658569,Shirt | Shorts | Moderate Breeze
77.1,12.8887248,Shirt | Shorts | Moderate Breeze
77.2,12.8887248,Shirt | Shorts | Moderate Breeze
60.7,13.0038027,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
71.6,13.0038027,Shirt | Shorts | Moderate Breeze
75.5,13.0038027,Shirt | Shorts | Moderate Breeze
78.7,13.0038027,Shirt | Shorts | Moderate Breeze
77,13.1188806,Shirt | Shorts Moderate Breeze
64,13.2339585,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
77.7,13.2339585,Shirt | Shorts | Moderate Breeze
78.3,13.2339585,Shirt | Shorts | Moderate Breeze
76.8,13.3490364,Shirt | Shorts | Moderate Breeze
77.7,13.3490364,Shirt | Shorts | Moderate Breeze
60.1,13.4641143,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
65.8,13.4641143,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
78.1,13.4641143,Shirt | Shorts | Moderate Breeze
78.5,13.4641143,Shirt | Shorts | Moderate Breeze
82.1,13.5791922,Shirt | Shorts | Moderate Breeze
69.9,13.6942701,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
66.4,14.0395038,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
71.7,14.0395038,Shirt | Shorts | Moderate Breeze
66.9,14.2696596,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
68.8,14.2696596,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
78.1,14.2696596,Shirt | Shorts | Moderate Breeze
77.2,14.3847375,Shirt | Shorts | Moderate Breeze
70.4,14.4998154,Shirt | Shorts | Moderate Breeze
78.2,14.4998154,Shirt | Shorts | Moderate Breeze
77.4,15.0752049,Shirt | Shorts | Moderate Breeze
83.6,15.0752049,Shirt | Shorts | Moderate Breeze
66.9,15.1902828,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
69.9,15.1902828,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
71.4,15.4204386,Shirt | Shorts | Moderate Breeze
78.3,15.4204386,Shirt | Shorts | Moderate Breeze
81,15.4204386,Shirt | Shorts | Moderate Breeze
79.1,15.5355165,Shirt | Shorts | Moderate Breeze
67.9,15.6505944,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
71,15.6505944,Shirt | Shorts | Moderate Breeze
70.3,15.7656723,Shirt | Shorts | Moderate Breeze
79.5,15.7656723,Shirt | Shorts | Moderate Breeze
77.9,16.110906,Shirt | Shorts | Moderate Breeze
70.3,16.2259839,Shirt | Shorts | Moderate Breeze
67.4,16.3410618,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
64.2,16.5712176,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
63.8,16.6862955,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
63.8,16.8013734,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
67.7,16.9164513,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
77.9,16.9164513,Shirt | Shorts | Moderate Breeze
42,17.1466071,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Moderate Breeze
69.9,17.3767629,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
70.1,17.4918408,Shirt | Shorts | Moderate Breeze
76.8,17.9521524,Shirt | Shorts | Moderate Breeze
66.1,18.0672303,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
71.3,18.7576977,Shirt | Shorts | Moderate Breeze
65.2,18.8727756,Shirt | Pants | Jacket | Long Sleeves | Moderate Breeze
76.5,19.4481651,Shirt | Shorts | Fresh Breeze
72.9,19.7933988,Shirt | Shorts | Fresh Breeze
64.5,19.9084767,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
69.9,19.9084767,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
64,20.0235546,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
67,20.9441778,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
67.7,20.9441778,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
72.7,21.0592557,Shirt | Shorts | Fresh Breeze
67.7,21.9798789,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
70.7,22.4401905,Shirt | Shorts | Fresh Breeze
72.9,23.01558,Shirt | Shorts | Fresh Breeze
62.4,23.5909695,Shirt | Pants | Jacket | Long Sleeves | Fresh Breeze
